rho,l,C11,C12,C44,duration,name,material,R,z1,l/R,Ct,eta1,eta2,eta3,eta4,eta5,eta6,link
3.515,5.0,1280000000.0,124000000.0,578000000.0,48767.541136,CarbSphere_5.0_5.0_20250427-234304,Carbonium,5.0,0.7,1.0,12823.342868880141,4.2146395,4.2492915,4.4445556,4.4610008,5.1715501,5.6400132,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas\CarbSphere_5.0_5.0_0.7_20250427-234304.json&mode=6&magnif=6
3.515,5.0,1280000000.0,124000000.0,578000000.0,48767.541136,CarbSphere_5.0_5.0_20250427-234304,Carbonium,5.0,0.8,1.0,12823.342868880141,4.5052006,4.5422464,4.7479803,4.7655156,5.5281022,6.0236243,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas\CarbSphere_5.0_5.0_0.8_20250427-234304.json&mode=6&magnif=6
3.515,5.0,1280000000.0,124000000.0,578000000.0,48767.541136,CarbSphere_5.0_5.0_20250427-234304,Carbonium,5.0,0.9,1.0,12823.342868880141,4.7781251,4.8174191,5.0331408,5.0517023,5.8630109,6.3842238,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas\CarbSphere_5.0_5.0_0.9_20250427-234304.json&mode=6&magnif=6
5.323,2.0,182500000.0,48300000.0,67100000.0,15243.074323,GermSphere_10.0_2.0_20250429-083717,Germanium,10.0,0.1,0.2,3550.4469426244787,2.2916514,2.3051211,2.7096667,2.7163719,2.9988003,3.0097356,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas\GermSphere_10.0_2.0_0.1_20250429-083717.json&mode=6&magnif=6
5.323,2.0,182500000.0,48300000.0,67100000.0,15243.074323,GermSphere_10.0_2.0_20250429-083717,Germanium,10.0,0.2,0.2,3550.4469426244787,2.7425843,2.7611212,3.2445885,3.2535658,3.6649751,3.8587002,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas\GermSphere_10.0_2.0_0.2_20250429-083717.json&mode=6&magnif=6
5.323,2.0,182500000.0,48300000.0,67100000.0,15243.074323,GermSphere_10.0_2.0_20250429-083717,Germanium,10.0,0.3,0.2,3550.4469426244787,3.1247507,3.147554,3.6266765,3.6367562,4.1885744,4.5569656,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas\GermSphere_10.0_2.0_0.3_20250429-083717.json&mode=6&magnif=6
5.323,2.0,182500000.0,48300000.0,67100000.0,15243.074323,GermSphere_10.0_2.0_20250429-083717,Germanium,10.0,0.4,0.2,3550.4469426244787,3.4638652,3.4903747,3.9424197,3.9532894,4.6503505,5.1610925,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas\GermSphere_10.0_2.0_0.4_20250429-083717.json&mode=6&magnif=6
5.323,2.0,182500000.0,48300000.0,67100000.0,15243.074323,GermSphere_10.0_2.0_20250429-083717,Germanium,10.0,0.5,0.2,3550.4469426244787,3.7721692,3.8019843,4.2211107,4.2326571,5.0689807,5.7013674,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas\GermSphere_10.0_2.0_0.5_20250429-083717.json&mode=6&magnif=6
5.323,2.0,182500000.0,48300000.0,67100000.0,15243.074323,GermSphere_10.0_2.0_20250429-083717,Germanium,10.0,0.6,0.2,3550.4469426244787,4.0568958,4.0897159,4.475439,4.4876055,5.4549792,6.1946086,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas\GermSphere_10.0_2.0_0.6_20250429-083717.json&mode=6&magnif=6
5.323,2.0,182500000.0,48300000.0,67100000.0,15243.074323,GermSphere_10.0_2.0_20250429-083717,Germanium,10.0,0.7,0.2,3550.4469426244787,4.322791,4.3583815,4.712007,4.7247573,5.8150849,6.651324,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas\GermSphere_10.0_2.0_0.7_20250429-083717.json&mode=6&magnif=6
5.323,2.0,182500000.0,48300000.0,67100000.0,15243.074323,GermSphere_10.0_2.0_20250429-083717,Germanium,10.0,0.8,0.2,3550.4469426244787,4.5731815,4.6113537,4.9347351,4.948042,6.1539588,7.0786041,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas\GermSphere_10.0_2.0_0.8_20250429-083717.json&mode=6&magnif=6
5.323,2.0,182500000.0,48300000.0,67100000.0,15243.074323,GermSphere_10.0_2.0_20250429-083717,Germanium,10.0,0.9,0.2,3550.4469426244787,4.8105112,4.8511089,5.146184,5.1600251,6.4749966,7.4815029,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas\GermSphere_10.0_2.0_0.9_20250429-083717.json&mode=6&magnif=6
5.323,5.0,182500000.0,48300000.0,67100000.0,15216.146685,GermSphere_10.0_5.0_20250429-083717,Germanium,10.0,0.1,0.5,3550.4469426244787,1.6687632,1.6821387,1.9597434,1.9663639,2.2402149,2.5171969,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas\GermSphere_10.0_5.0_0.1_20250429-083717.json&mode=6&magnif=6
5.323,5.0,182500000.0,48300000.0,67100000.0,15216.146685,GermSphere_10.0_5.0_20250429-083717,Germanium,10.0,0.2,0.5,3550.4469426244787,2.3010264,2.3200737,2.586515,2.5943447,3.0938896,3.5360122,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas\GermSphere_10.0_5.0_0.2_20250429-083717.json&mode=6&magnif=6
5.323,5.0,182500000.0,48300000.0,67100000.0,15216.146685,GermSphere_10.0_5.0_20250429-083717,Germanium,10.0,0.3,0.5,3550.4469426244787,2.7935755,2.8169682,3.0758006,3.0846904,3.7581516,4.3209222,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas\GermSphere_10.0_5.0_0.3_20250429-083717.json&mode=6&magnif=6
5.323,5.0,182500000.0,48300000.0,67100000.0,15216.146685,GermSphere_10.0_5.0_20250429-083717,Germanium,10.0,0.4,0.5,3550.4469426244787,3.2114254,3.2384766,3.4941428,3.5039909,4.3214282,4.983706,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas\GermSphere_10.0_5.0_0.4_20250429-083717.json&mode=6&magnif=6
5.323,5.0,182500000.0,48300000.0,67100000.0,15216.146685,GermSphere_10.0_5.0_20250429-083717,Germanium,10.0,0.5,0.5,3550.4469426244787,3.5808351,3.6111069,3.8663119,3.8770387,4.8192919,5.5681478,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas\GermSphere_10.0_5.0_0.5_20250429-083717.json&mode=6&magnif=6
5.323,5.0,182500000.0,48300000.0,67100000.0,15216.146685,GermSphere_10.0_5.0_20250429-083717,Germanium,10.0,0.6,0.5,3550.4469426244787,3.9155429,3.9487246,4.2051198,4.2166614,5.2703229,6.0968197,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas\GermSphere_10.0_5.0_0.6_20250429-083717.json&mode=6&magnif=6
5.323,5.0,182500000.0,48300000.0,67100000.0,15216.146685,GermSphere_10.0_5.0_20250429-083717,Germanium,10.0,0.7,0.5,3550.4469426244787,4.223808,4.2596645,4.5182955,4.5305999,5.6856815,6.5831714,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas\GermSphere_10.0_5.0_0.7_20250429-083717.json&mode=6&magnif=6
5.323,5.0,182500000.0,48300000.0,67100000.0,15216.146685,GermSphere_10.0_5.0_20250429-083717,Germanium,10.0,0.8,0.5,3550.4469426244787,4.5110555,4.5494007,4.8109514,4.8239749,6.0726936,7.0359847,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas\GermSphere_10.0_5.0_0.8_20250429-083717.json&mode=6&magnif=6
5.323,5.0,182500000.0,48300000.0,67100000.0,15216.146685,GermSphere_10.0_5.0_20250429-083717,Germanium,10.0,0.9,0.5,3550.4469426244787,4.7810754,4.8217574,5.0866855,5.1003912,6.4364754,7.461368,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas\GermSphere_10.0_5.0_0.9_20250429-083717.json&mode=6&magnif=6
5.323,2.0,182500000.0,48300000.0,67100000.0,48850.692034,GermSphere_5.0_2.0_20250427-234150,Germanium,5.0,0.1,0.4,3550.4469426244787,1.7373977,1.7506646,2.0811173,2.08838,2.3272294,2.5527155,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas\GermSphere_5.0_2.0_0.1_20250427-234150.json&mode=6&magnif=6
5.323,2.0,182500000.0,48300000.0,67100000.0,48850.692034,GermSphere_5.0_2.0_20250427-234150,Germanium,5.0,0.2,0.4,3550.4469426244787,2.3461144,2.3650569,2.6900149,2.6984049,3.1514036,3.5586404,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas\GermSphere_5.0_2.0_0.2_20250427-234150.json&mode=6&magnif=6
5.323,2.0,182500000.0,48300000.0,67100000.0,48850.692034,GermSphere_5.0_2.0_20250427-234150,Germanium,5.0,0.3,0.4,3550.4469426244787,2.8262901,2.8495979,3.1587071,3.1680289,3.7999669,4.3371625,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas\GermSphere_5.0_2.0_0.3_20250427-234150.json&mode=6&magnif=6
5.323,2.0,182500000.0,48300000.0,67100000.0,48850.692034,GermSphere_5.0_2.0_20250427-234150,Germanium,5.0,0.4,0.4,3550.4469426244787,3.2359018,3.2628862,3.5594781,3.569657,4.3527453,4.995789,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas\GermSphere_5.0_2.0_0.4_20250427-234150.json&mode=6&magnif=6
5.323,2.0,182500000.0,48300000.0,67100000.0,48850.692034,GermSphere_5.0_2.0_20250427-234150,Germanium,5.0,0.5,0.4,3550.4469426244787,3.5991662,3.6293863,3.9168344,3.9278117,4.8427603,5.5771664,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas\GermSphere_5.0_2.0_0.5_20250427-234150.json&mode=6&magnif=6
5.323,2.0,182500000.0,48300000.0,67100000.0,48850.692034,GermSphere_5.0_2.0_20250427-234150,Germanium,5.0,0.6,0.4,3550.4469426244787,3.928973,3.9621161,4.2429467,4.2546732,5.2875238,6.103412,https://zibramax.github.io/FEMViewer/?mesh=https://raw.githubusercontent.com/ZibraMax/non-local-frequencies-nanostructures/refs/heads/main/Esferas\GermSphere_5.0_2.0_0.6_20250427-234150.json&mode=6&magnif=6
